tweet_created_at,tweet_id_str,tweet_source,tweet_in_reply_to_status_id,tweet_in_reply_to_status_id_str,tweet_in_reply_to_user_id,tweet_in_reply_to_user_id_str,tweet_in_reply_to_screen_name,tweet_place_name,tweet_place_full_name,tweet_place_country_code,tweet_place_country,tweet_is_quote_status,tweet_retweet_count,tweet_favorite_count,tweet_favorited,tweet_retweeted,tweet_possibly_sensitive,tweet_lang,tweet_truncated,tweet_quoted_status_id_str,user_id_str,user_name,user_screen_name,user_location,user_profile_location,user_description,user_url,user_entities,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favorites_count,user_utc_offset,user_time_zone,user_geo_enabled,user_verified,user_statuses_count,user_lang,user_contributers_enabled,user_profile_image_url,user_default_profile,user_follow_request_sent,text_text,text_hashtags_count,text_symbols_count,text_user_mentions_count,text_urls_count,text_media_count
Mon Feb 12 04:42:23 +0000 2018,962909726853029000,Echobox Social,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,10433782,Mercury News,mercnews,Silicon ValleySNE_COMMA CA,,Latest Silicon Valley and San Francisco Bay Area news from reporters & columnists at The Mercury News.,http://www.mercurynews.com,,FALSE,221828,1665,2854,Wed Nov 21 05:53:00 +0000 2007,,-28800,Pacific Time (US & Canada),TRUE,TRUE,236349,en,,http://pbs.twimg.com/profile_images/716045617311522816/I0BYs-DH_normal.jpg,FALSE,,UPDATE 49ers linebacker Reuben Foster arrested on domestic violenceSNE_COMMA assault rifle allegations https://t.co/1faoVNZ8Jj https://t.co/ZRfPoNFqtp,0,1,0,0,1
Mon Feb 12 04:43:19 +0000 2018,962909960878243000,TweetDeck,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,2997657300,THR International,THRGlobal,,,The latest news from @THR's correspondents around the globe. Tweets by THR Online's International Editor Abid Rahman (@gentlemanabroad),http://www.thr.com/international,,FALSE,19782,227,338,Tue Jan 27 01:53:56 +0000 2015,,,,FALSE,TRUE,6517,en,,http://pbs.twimg.com/profile_images/559894141862047744/fwcQveOY_normal.jpeg,FALSE,,South Korean filmmaker Lee Hyun-ju announced that she is retiring from the industry after being convicted of sexual assault https://t.co/AThbU4XizZ https://t.co/KwGTxwqc9n,0,1,0,0,1
Mon Feb 12 04:44:11 +0000 2018,962910179128786000,Twitter for Android,9.63E+17,9.63E+17,125604723,125604723,Kaushal_Tweet,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,388451065,Rakesh Sharma,rakeshfilm,Mumbai,,Tweets for funSNE_COMMA by a â€˜seriousâ€™ filmmaker. Loved by the CensorsSNE_COMMA NaMo brigadesSNE_COMMA Trolls & bhakts. Watch/ Download Final Solution - http://vimeo.com/rakeshfilm.,https://www.facebook.com/Rakesh-Sharma-254056251320584/,,FALSE,6921,173,68,Mon Oct 10 19:25:03 +0000 2011,,,,FALSE,TRUE,10097,en,,http://pbs.twimg.com/profile_images/1582096179/Rakesh_Sharma_Final_Solution_normal.jpg,TRUE,,@Kaushal_Tweet Kaushal: I tagged @TVMohandasPai specifically as he's on the Manipal boardSNE_COMMA disgusted at the attack on Rajdeep Sardesai's son.SNE_LFSNE_LFYet this darbari troll @vivekagnihotri keeps peddling the lie! SNE_LFSNE_LFHe's just one of se,1,0,3,0,0
Mon Feb 12 04:44:22 +0000 2018,962910225123586000,Twitter Web Client,9.63E+17,9.63E+17,15922651,15922651,daweiner,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,59143038,Jeff Bercovici,jeffbercovici,BerkeleySNE_COMMA CA,,SF bureau chief for Inc.SNE_COMMA covering tech & entrepreneurship. Forthcoming book about science of longevity in elite athletes. FAQ: It's burr-KOH-vih-see.,http://www.inc.com/author/jeff-bercovici,,FALSE,17230,1905,895,Wed Jul 22 14:43:14 +0000 2009,,-21600,Central Time (US & Canada),FALSE,TRUE,12918,en,,http://pbs.twimg.com/profile_images/636979715333447680/Z2x0bWg8_normal.jpg,FALSE,,@daweiner he has a pointSNE_COMMA though. we are desperate for a line of attack on Trump. the guy is untouchable! if only there were some chink in that armor. plus everyone around him is so disciplined,0,0,1,0,0
Mon Feb 12 04:45:56 +0000 2018,962910619136479000,Tweetbot for iÎŸS,,,,,,,,,,TRUE,0,0,FALSE,FALSE,FALSE,en,FALSE,9.63E+17,22120918,Ben Pobjie,benpobjie,Cranbourne,,Better than Jonathan BigginsSNE_COMMA not as good as the Viet Cong. New bookSNE_COMMA Aussie Aussie Aussie!,https://www.booktopia.com.au/aussie-aussie-aussie-ben-pobjie/prod9781925475685.html,,FALSE,19185,2259,582,Fri Feb 27 08:21:07 +0000 2009,,-36000,Hawaii,TRUE,TRUE,344862,en,,http://pbs.twimg.com/profile_images/962251918755078145/STlS0aRV_normal.jpg,FALSE,,Hollywood: covering up sexual assaultSNE_COMMA apologizing to idiots for nothingSNE_COMMA just another day https://t.co/HYyFRRPKX9,0,0,0,1,0
Mon Feb 12 04:46:06 +0000 2018,962910660160925000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,39748571,Gina Rushton,ginarush,Glorious Sydney,,@BuzzFeedNews reporter (allegedly) âœ‰ï¸gina.rushton@buzzfeed.com âŒ¨ï¸ â€œWhen a woman tells the truth she is creating the possibility for more truth around her.â€,https://www.buzzfeed.com/ginarushton,,FALSE,7612,1551,152,Wed May 13 13:22:33 +0000 2009,,39600,Sydney,FALSE,TRUE,21753,en,,http://pbs.twimg.com/profile_images/936343323870085120/FOuT4wbr_normal.jpg,FALSE,,mmmmm idk clownsSNE_COMMA rape and murder still prob winning out for me https://t.co/LeDUBZsPc5,0,0,0,0,1
Mon Feb 12 04:47:14 +0000 2018,962910946799898000,Twitter for Android,,,,,,Hartford,"Hartford, CT",US,United States,FALSE,0,0,FALSE,FALSE,,en,TRUE,,2359537176,Joseph Young,jayoung1892,ManchesterSNE_COMMA CT,,Future U.S. PresidentSNE_COMMA former Student Regent. Followed by @CoryBooker and @DanMalloyCT.  Exploring run in #CT13 District in 2018. @Yankees @Giants fan! #Resist,http://Facebook.com,,FALSE,2237,5001,97,Mon Feb 24 13:55:53 +0000 2014,,,,TRUE,FALSE,162642,en,,http://pbs.twimg.com/profile_images/945079530347212800/e4h4HQ3__normal.jpg,FALSE,,This @POTUS brags about sexual assaultSNE_COMMA praises people in his administration who beat up their wives and calls the KKK SNE_QUOTEVery fine people.SNE_QUOTESNE_LFSNE_LFBlack athletes are SNE_QUOTESons of bitches!SNE_QUOTE for peacefully protesting? Makes sense! #TruthHasaVoice,1,0,1,0,0
Mon Feb 12 04:48:01 +0000 2018,962911144620052000,Buffer,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,414946220,scroll.in,scroll_in,,,India's leading independent source of newsSNE_COMMA analysis and culture.,http://scroll.in,,FALSE,165377,83,1152,Thu Nov 17 18:03:25 +0000 2011,,19800,Mumbai,TRUE,TRUE,157062,en,,http://pbs.twimg.com/profile_images/910131775820591104/m3yXSmhX_normal.jpg,FALSE,,Pregnant woman who got shot during Jammu Army camp attack delivers baby https://t.co/ISEjpiKrAJ https://t.co/W8nN97UMtf,0,0,0,1,1
Mon Feb 12 04:49:39 +0000 2018,962911556366426000,Hootsuite,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,69271273,Daily Trust,daily_trust,AbujaSNE_COMMA Nigeria,,"Our Vision: To be a world class media company that earns public trust.
SNE_LFOur mission: To disseminate credible information for the good of all stakeholders",http://dailytrust.com.ng,,FALSE,513152,588,849,Thu Aug 27 11:58:58 +0000 2009,,3600,West Central Africa,TRUE,TRUE,266909,en,,http://pbs.twimg.com/profile_images/384227601/logo_normal.jpg,FALSE,,FG involves traditional rulers to reduce sexual assault in YobeSNE_LFhttps://t.co/GQvHp4C5Xr https://t.co/K65m38U9Bs,0,0,0,1,1
Mon Feb 12 04:50:00 +0000 2018,962911643096223000,TweetDeck,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,120153772,Women in the World,WomenintheWorld,New YorkSNE_COMMA NY,,Convening women leadersSNE_COMMA activists & change-makers to share stories & offer solutions for a better life for women & girls. #WITW,http://womenintheworld.com,,FALSE,317822,1646,3877,Fri Mar 05 16:36:49 +0000 2010,,-18000,Eastern Time (US & Canada),TRUE,TRUE,51214,en,,http://pbs.twimg.com/profile_images/579026092914294784/KFrOWkX__normal.png,FALSE,,The U.S. House of Representatives changed its internal rules governing sexual harassment complaints:SNE_LFhttps://t.co/TB0ief57D9 https://t.co/10scFNh2GW,0,1,0,0,1
Mon Feb 12 04:52:02 +0000 2018,962912157124964000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,355591226,DSA ï¿½,DemSocialists,,,Democratic Socialists of America is the largest and fastest growing socialist organization in the USA. Students: @ydsa_ ï¿½ Tweets are not official statements.,http://dsausa.org,,FALSE,116156,5153,1148,Mon Aug 15 16:01:21 +0000 2011,,-14400,Atlantic Time (Canada),TRUE,TRUE,26471,en,,http://pbs.twimg.com/profile_images/875451834911125505/DgGKFJ8p_normal.jpg,FALSE,,This week the House is set to vote on a bill that would gut the Americans with Disabilities Act in ways that could set disability rights back 27 years. This legislation must be defeated.SNE_LFhttps://t.co/Y5pJST4wJ9,0,1,0,0,0
Mon Feb 12 04:54:16 +0000 2018,962912718234705000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,34245009,India TV,indiatvnews,India,,Indiaâ€™s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:http://www.FB.com/IndiaTVNews,https://www.indiatvnews.com,,FALSE,504479,21,950,Wed Apr 22 11:26:34 +0000 2009,,19800,New Delhi,FALSE,TRUE,355045,en,,http://pbs.twimg.com/profile_images/438346326007234560/YyvWcpAf_normal.jpeg,FALSE,,Terrorist attack on #Srinagar #CRPF camp foiledSNE_COMMA gun battle with heavily-armed militants underway https://t.co/lDSWyqmPhP,2,0,0,1,0
Mon Feb 12 04:55:04 +0000 2018,962912918491693000,Tweet Money,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,116909103,eThrive,eThrive,Earth,,Because the people who are crazy enough 2 think they can change the worldSNE_COMMA are the ones who do #Entrepreneurs #Vision #Dreams,http://eThrive.com,,FALSE,244860,182604,2660,Tue Feb 23 23:32:55 +0000 2010,,-25200,Arizona,TRUE,TRUE,44182,en,,http://pbs.twimg.com/profile_images/585146774945300480/4nOLaYL0_normal.jpg,FALSE,,#NFL 49ers star busted on domestic violence charges https://t.co/6cLYyRakb2,1,0,0,1,0
Mon Feb 12 04:55:43 +0000 2018,962913081595588000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,39240673,ABP News,abpnewstv,India,,Follow for latest news alerts from India,http://www.abplive.in,,FALSE,7625507,136,3291,Mon May 11 12:25:51 +0000 2009,,19800,New Delhi,TRUE,TRUE,163342,en,,http://pbs.twimg.com/profile_images/821590939051446272/8Zn4XtF__normal.jpg,FALSE,,BREAKING: Another terror attack in J&amp;K. Terrorists attack #CRPF HQ in #Srinagar; firing underway SNE_LFhttps://t.co/JQJlKZeiOk,2,0,0,1,0
Mon Feb 12 04:56:21 +0000 2018,962913242514317000,Twitter Web Client,,,,,,,,,,TRUE,0,0,FALSE,FALSE,FALSE,en,FALSE,9.63E+17,17455195,devon maloney,dynamofire,los angeles,,how much for the cheetos & water? | culture journalistSNE_COMMA dystopian scholarSNE_COMMA vengeance demon | rep: @dongwon | ï¿½ï¿½,http://devonmaloney.com,,FALSE,9419,1025,298,Tue Nov 18 01:04:27 +0000 2008,,-28800,Pacific Time (US & Canada),TRUE,TRUE,62227,en,,http://pbs.twimg.com/profile_images/960769530929672193/LQ3eSv5s_normal.jpg,FALSE,,still thinking about this casual verbal attack by nazi georgiou against meSNE_COMMA specificallySNE_COMMA as a person https://t.co/Yq1rmnCzm2,0,0,0,1,0
Mon Feb 12 04:56:34 +0000 2018,962913296054669000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,1039015705,News Nation,NewsNationTV,NoidaSNE_COMMA India,,Latest and Breaking news alerts from India and the world. Retweets are not endorsements.,http://www.newsnation.in,,FALSE,85368,360,484,Thu Dec 27 06:54:37 +0000 2012,,19800,New Delhi,TRUE,TRUE,203451,en,,http://pbs.twimg.com/profile_images/770253224959893504/bhmoCC9U_normal.jpg,FALSE,,Minor #Dalit girl torched in #MadhyaPradesh for resisting rapeSNE_LFhttps://t.co/2KlLFmK4V9,2,0,0,1,0
Mon Feb 12 04:57:13 +0000 2018,962913457568968000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,,en,FALSE,,1100927498,Doordarshan News,DDNewsLive,New DelhiSNE_COMMA India,,Official Twitter account of DD NewsSNE_COMMA the Public Broadcaster of India.  SNE_LFà¤¹à¤¿à¤‚à¤¦à¥€ à¤®à¥‡à¤‚ @DDNewsHindi.,http://www.ddnews.gov.in,,FALSE,2205592,25,2098,Fri Jan 18 13:04:45 +0000 2013,,19800,New Delhi,TRUE,TRUE,120647,en,,http://pbs.twimg.com/profile_images/882819558977015809/kRMrVD_a_normal.jpg,FALSE,,#JammuAndKashmir: Terrorists attack near #CRPF camp in Srinagarâ€™s Karan Nagar; one CRPF personnel has been injured,2,0,0,0,0
Mon Feb 12 04:58:00 +0000 2018,962913655955382000,TweetDeck,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,22490294,Comicbook.com,ComicBook,,,The OFFICIAL Twitter account for http://ComicBook.com. We're your #1 resource of news on comic booksSNE_COMMA moviesSNE_COMMA and TV shows.,http://www.comicbook.com/,,FALSE,121661,1919,1749,Mon Mar 02 14:50:43 +0000 2009,,-18000,Quito,FALSE,TRUE,163601,en,,http://pbs.twimg.com/profile_images/875767134969876481/7G8BkNSg_normal.jpg,FALSE,,WellSNE_COMMA #AttackOnTitan confirmed one baddie is still alive and well:SNE_LFhttps://t.co/zxJi4byCPb https://t.co/KPN1UCYZSZ,1,0,0,1,1
Mon Feb 12 04:58:02 +0000 2018,962913664541118000,Buffer,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,414946220,scroll.in,scroll_in,,,India's leading independent source of newsSNE_COMMA analysis and culture.,http://scroll.in,,FALSE,165378,83,1155,Thu Nov 17 18:03:25 +0000 2011,,19800,Mumbai,TRUE,TRUE,157064,en,,http://pbs.twimg.com/profile_images/910131775820591104/m3yXSmhX_normal.jpg,FALSE,,Government institute fires leading scientist after sexual harassment allegation https://t.co/6avnTzyfGJ https://t.co/3sacqsyOvv,0,0,0,1,1
Mon Feb 12 04:58:16 +0000 2018,962913723294785000,Twitter Web Client,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,6509832,News18,CNNnews18,India,,Latest news alerts from India and the world.,http://www.News18.com,,FALSE,3870193,400,6100,Fri Jun 01 20:31:01 +0000 2007,,19800,New Delhi,TRUE,TRUE,533761,en,,http://pbs.twimg.com/profile_images/923813836724977664/2wlt99tw_normal.jpg,FALSE,,Pyeongchang #WinterOlympics organisers confirmed that the Games had fallen victim to a cyber attack during Friday's opening ceremony https://t.co/Pw4ULHcScr,1,1,0,0,0
Mon Feb 12 04:58:41 +0000 2018,962913826952896000,Twitter for Android,,,,,,,,,,FALSE,0,0,FALSE,FALSE,,en,TRUE,,38108960,Zulqarnain Ibn Usuf,mzzulfi,Universe,,Journalist at @timesofindia | Former @IndianExpress @ians_india Passion: #Kashmir #TechnologySNE_COMMA #FoodSNE_COMMA #Politics. Retweets doesn't always mean endorsement.,https://timesofindia.indiatimes.com/toireporter/author-Muhammad-Zulqarnain-Zulfi-479247113.cms,,FALSE,727,87,21,Wed May 06 03:59:52 +0000 2009,,19800,Asia/Calcutta,TRUE,TRUE,6444,en,,http://pbs.twimg.com/profile_images/805704122045321216/ox6R09Xs_normal.jpg,FALSE,,BREAKING: Heavy exchange of fire between militants and security forces at Karan Nagar. EarlierSNE_COMMA CRPF claimed to have repelled the militant attack. More details awaited. #Kashmir,1,0,0,0,0
Mon Feb 12 05:00:00 +0000 2018,962914159296905000,TweetDeck,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,TRUE,,15358759,Las Vegas RJ,reviewjournal,Las VegasSNE_COMMA NV,,Worth talking about. Send news tips to atthescene@reviewjournal.com #RJnow,http://reviewjournal.com,,FALSE,236547,174,2018,Tue Jul 08 21:53:13 +0000 2008,,-28800,Pacific Time (US & Canada),TRUE,TRUE,130979,en,,http://pbs.twimg.com/profile_images/848956992190271502/1rZKFYP7_normal.jpg,FALSE,,â€œThese year-over-year increases again tell us more people are coming forward and reaching out for helpSNE_COMMAâ€ said Daniele DreitzerSNE_COMMA executive director of the Rape Crisis Center of Southern NevadaSNE_LFhttps://t.co/z07AnDFJpa,0,1,0,0,0
Mon Feb 12 05:00:06 +0000 2018,962914185288892000,Oneindia News Eng,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,18159588,Oneindia.com,Oneindia,India,,Oneindia is a gamut of online resources. From breaking storiesSNE_COMMA top newsSNE_COMMA current affairs to sports updateSNE_COMMA movies & entertainment.,http://www.Oneindia.com,,FALSE,49305,840,990,Tue Dec 16 09:44:12 +0000 2008,,19800,New Delhi,TRUE,TRUE,277322,en,,http://pbs.twimg.com/profile_images/936514952461824001/o9ruP2j8_normal.jpg,FALSE,,Horror in Madhya Pradesh: Minor Dalit girl torched for resisting rape  https://t.co/tYLNt8XVgg #MadhyaPradesh,1,0,0,1,0
Mon Feb 12 05:01:35 +0000 2018,962914559504846000,SocialFlow,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,FALSE,,1092378031,Guardian Australia,GuardianAus,Australia,,Latest news from Guardian Australia,http://www.theguardian.com/au,,FALSE,171313,124,2084,Tue Jan 15 15:16:44 +0000 2013,,39600,Sydney,FALSE,TRUE,144642,en,,http://pbs.twimg.com/profile_images/952792697521061889/bn3j0UX2_normal.jpg,FALSE,,We need to change the culture of silence about sexual harassment | Gay Alcorn https://t.co/WgsjFi9YdJ,0,0,0,1,0
